#,NES Game,Main Category,# of Runners,Game Value,Mod #R,GVC,GVP,LTM,L,*1.8,.4%+,Min,Relevant Link
273,Kid Niki: Radical Ninja,any%,18,380,38.88,380,380,2.16,,690,620,100,https://www.speedrun.com/kid_niki_radical_ninja
273,Yo! Noid,any%,16,380,38.88,380,380,2.43,,690,620,100,https://www.speedrun.com/yo_noid
275,"Adventures of Tom Sawyer, The",any%,18,380,38.7,380,380,2.15,,690,620,100,https://www.speedrun.com/the_adventures_of_tom_sawyer
276,Demon Sword,any%,18,380,38.52,380,380,2.14,,690,620,100,https://www.speedrun.com/demon_sword
277,Magic Johnson's Fast Break,100 Points,28,380,38.08,380,380,1.36,,690,620,100,https://www.speedrun.com/magic_johnsons_fast_break
278,Gotcha! The Sport!,Beginner,20,370,38,370,370,1.9,,670,620,100,https://www.speedrun.com/gotcha_the_sport
279,Monster Truck Rally,Monster Truck Rally,17,370,37.91,370,370,2.23,,670,620,100,https://www.speedrun.com/monster_truck_rally
280,City Connection,1 Loop,19,370,37.81,370,370,1.99,,670,620,100,https://www.speedrun.com/city_connection
281,Spy vs. Spy,Single-Segment,17,370,37.57,370,370,2.21,,670,620,100,https://www.speedrun.com/spy_vs._spy?h=Single-Segment&x=rkl3n0nk
282,Dig Dug II,1 Loop,15,370,37.5,370,370,2.5,,670,620,100,https://www.speedrun.com/dig_dug_ii_nes
282,Ikari Warriors,any% (all),15,370,37.5,370,370,2.5,,670,620,100,https://www.speedrun.com/ikari_warriors
286,Captain America and The Avengers,any%,16,360,37.28,360,360,2.33,,650,610,100,https://www.speedrun.com/captain_america_and_the_avengers_nes
287,"Battle of Olympus, The",any%,15,360,37.2,360,360,2.48,,650,610,100,https://www.speedrun.com/the_battle_of_olympus
288,Jeopardy! 25th Anniversary Edition,Win (Solo),16,360,36.32,360,360,2.27,,650,610,100,https://www.speedrun.com/jeopardy25nes
394,"Magic of Scheherazade, The",any%,9,360,22.5,200,200,2.5,Y,360,520,100,https://www.speedrun.com/tmos
394,"Punisher, The",any%,9,360,22.5,200,200,2.5,Y,360,520,100,https://www.speedrun.com/the_punisher_nes
394,Space Shuttle Project,any%,9,360,22.5,200,200,2.5,Y,360,520,100,https://www.speedrun.com/space_shuttle_project
289,Wild Gunman,Game C,17,350,35.53,350,350,2.09,,630,610,100,https://www.speedrun.com/wild_gunman?h=Game_C&x=mkejo462
290,Conquest of the Crystal Palace,any%,16,350,35.52,350,350,2.22,,630,610,100,https://www.speedrun.com/conquest_of_the_crystal_palace
291,RoboCop 3,any%,18,350,35.46,350,350,1.97,,630,610,100,https://www.speedrun.com/robocop_3
292,Remote Control,Win Game,15,350,35.1,350,350,2.34,,630,610,100,https://www.speedrun.com/remote_control
293,Kickle Cubicle,any%,14,350,35,350,350,2.5,,630,610,100,https://www.speedrun.com/kickle_cubicle
293,S.C.A.T.: Special Cybernetic Attack Team,any%,14,350,35,350,350,2.5,,630,610,100,https://www.speedrun.com/s.c.a.t._special_cybernetic_attack_team
296,Bump 'n' Jump,4 Scenes,24,340,34.8,340,340,1.45,,620,600,100,https://www.speedrun.com/bnj
297,R.C. Pro-Am,any% One Loop (24 Tracks),14,340,34.3,340,340,2.45,,620,600,100,https://www.speedrun.com/r.c._pro-am
298,Target: Renegade,any%,16,340,34.24,340,340,2.14,,620,600,100,https://www.speedrun.com/target_renegade
299,Base Wars (Cyber Stadium Series),100% (One game),26,340,34.06,340,340,1.31,,620,600,100,https://www.speedrun.com/cyber_stadium_series_base_wars
300,Rollerball,100k Points,27,340,34.02,340,340,1.26,,620,600,100,https://www.speedrun.com/rollerball
301,Dragon Fighter,any%,15,330,33.9,340,330,2.26,,600,590,100,https://www.speedrun.com/dragon_fighter
302,New Ghostbusters II,any%,14,330,33.88,330,330,2.42,,600,590,100,https://www.speedrun.com/newghostbusters2
303,Indiana Jones and the Last Crusade (Taito-1991),any%,18,330,33.84,330,330,1.88,,600,590,100,https://www.speedrun.com/ijlastcrusadetaito
304,Sword Master,any%,17,330,33.66,330,330,1.98,,600,590,100,https://www.speedrun.com/sword_master
305,Wizards & Warriors III: Kuros: Visions of Power,any%,14,330,33.46,330,330,2.39,,600,590,100,https://www.speedrun.com/wizards_and_warriors_iii_kuros_visons_of_power
306,Kid Klown in Night Mayor World,any%,15,330,33.45,330,330,2.23,,600,590,100,https://www.speedrun.com/kid_klown_nes
307,Defenders of Dynatron City,any%,15,330,33.3,330,330,2.22,,600,590,100,https://www.speedrun.com/dodc
308,Defender II,"Game A, 5 Waves",25,320,33.25,320,320,1.33,,580,590,100,https://www.speedrun.com/defender_ii
309,M.U.L.E.,Easy,14,320,33.18,320,320,2.37,,580,590,100,https://www.speedrun.com/m.u.l.e.
310,R.B.I. Baseball,Win a Game,24,320,33.12,320,320,1.38,,580,590,100,https://www.speedrun.com/r.b.i._baseball
311,Zen the Intergalactic Ninja,(all) any%,15,320,33,320,320,2.2,,580,590,100,https://www.speedrun.com/zen_intergalactic_ninja
312,Predator: Soon the Hunt Will Begin,Beat the Game,14,320,32.9,320,320,2.35,,580,590,100,https://www.speedrun.com/predator
313,Jack Nicklaus' Greatest 18 Holes of Major Championship Golf,any%,19,320,32.87,320,320,1.73,,580,590,100,https://www.speedrun.com/jack_nicklaus_greatest_18_holes_of_major_championship_golf
314,Shooting Range,any%,17,310,32.81,310,310,1.93,,560,580,100,https://www.speedrun.com/shooting_range
